ロリライブ,,,1,名詞,固有名詞,一般,*,*,*,ロリライブ,ロリライブ,ロリライブ
はあわた,,,1,名詞,固有名詞,一般,*,*,*,はあわた,ハアワタ,ハーワタ
はあココ,,,1,名詞,固有名詞,一般,*,*,*,はあココ,ハアココ,ハーココ
ちゃまたん,,,1,名詞,固有名詞,一般,*,*,*,ちゃまたん,チャマタン,チャマタン
ぽてとりお,,,1,名詞,固有名詞,一般,*,*,*,ぽてとりお,ポテトリオ,ポテトリオ
どっきりラビリンス,,,1,名詞,固有名詞,一般,*,*,*,どっきりラビリンス,ドッキリラビリンス,ドッキリラビリンス
四角関係,,,1,名詞,固有名詞,一般,*,*,*,四角関係,シカクカンケイ,シカクカンケイ
金髪組,,,1,名詞,固有名詞,一般,*,*,*,金髪組,キンパツグミ,キンパツグミ
はあちゃん,,,1,名詞,固有名詞,人名,一般,*,*,はあちゃん,ハアチャン,ハーチャン
はあちゃま,,,1,名詞,固有名詞,人名,一般,*,*,はあちゃま,ハアチャマ,ハーチャマ
白上,,,1,名詞,固有名詞,人名,姓,*,*,白上,シラカミ,シラカミ
フブキ,,,1,名詞,固有名詞,人名,名,*,*,フブキ,フブキ,フブキ
すこん部,,,1,名詞,固有名詞,一般,*,*,*,すこん部,スコンブ,スコンブ
夏色吹雪,,,1,名詞,固有名詞,一般,*,*,*,夏色吹雪,ナツイロフブキ,ナツイロフブキ
フブミオ,,,1,名詞,固有名詞,一般,*,*,*,フブミオ,フブミオ,フブミオ
バカタレ共,,,1,名詞,固有名詞,一般,*,*,*,バカタレ共,バカタレドモ,バカタレドモ
fams,,,1,名詞,固有名詞,一般,*,*,*,fams,ファムズ,ファムズ
フブキング,,,1,名詞,固有名詞,人名,一般,*,*,フブキング,フブキング,フブキング
ふぶちゃん,,,1,名詞,固有名詞,人名,一般,*,*,ふぶちゃん,フブチャン,フブチャン
フブちゃん,,,1,名詞,固有名詞,人名,一般,*,*,フブちゃん,フブチャン,フブチャン
フブキせんぱい,,,1,名詞,固有名詞,人名,一般,*,*,フブキせんぱい,フブキセンパイ,フブキセンパイ
夏色,,,1,名詞,固有名詞,人名,姓,*,*,夏色,ナツイロ,ナツイロ
まつり,,,1,名詞,固有名詞,人名,名,*,*,まつり,マツリ,マツリ
まつりす,,,1,名詞,固有名詞,一般,*,*,*,まつりす,マツリス,マツリス
夏アッキー,,,1,名詞,固有名詞,一般,*,*,*,夏アッキー,ナツアッキー,ナツアッキー
夏空組,,,1,名詞,固有名詞,一般,*,*,*,夏空組,ナツゾラグミ,ナツゾラグミ
シオり,,,1,名詞,固有名詞,一般,*,*,*,シオり,シオリ,シオリ
夏ちょこ,,,1,名詞,固有名詞,一般,*,*,*,夏ちょこ,ナツチョコ,ナツチョコ
まな板組,,,1,名詞,固有名詞,一般,*,*,*,まな板組,マナイタグミ,マナイタグミ
えむえむGO,,,1,名詞,固有名詞,一般,*,*,*,えむえむGO,エムエムゴー,エムエムゴー
まつかな,,,1,名詞,固有名詞,一般,*,*,*,まつかな,マツカナ,マツカナ
ココ夏,,,1,名詞,固有名詞,一般,*,*,*,ココ夏,ココナツ,ココナツ
癌と羊,,,1,名詞,固有名詞,一般,*,*,*,癌と羊,ガントヒツジ,ガントヒツジ
フェスティバルーナ,,,1,名詞,固有名詞,一般,*,*,*,フェスティバルーナ,フェスティバルーナ,フェスティバルーナ
チア団長,,,1,名詞,固有名詞,一般,*,*,*,チア団長,チアダンチョウ,チアダンチョー
春夏秋冬組,,,1,名詞,固有名詞,一般,*,*,*,春夏秋冬組,シュンカシュウトウグミ,シュンカシュートーグミ
ぺこみこここ夏,,,1,名詞,固有名詞,一般,*,*,*,ぺこみこここ夏,ペコミコココナツ,ペコミコココナツ
ばりあすからーず,,,1,名詞,固有名詞,一般,*,*,*,ばりあすからーず,バリアスカラーズ,バリアスカラーズ
まつりん,,,1,名詞,固有名詞,人名,一般,*,*,まつりん,マツリン,マツリン
まつりちゃ先輩,,,1,名詞,固有名詞,人名,一般,*,*,まつりちゃ先輩,マツリチャセンパイ,マツリチャセンパイ
湊,,,1,名詞,固有名詞,人名,姓,*,*,湊,ミナト,ミナト
あくあ,,,1,名詞,固有名詞,人名,名,*,*,あくあ,アクア,アクア
あてぃし,,,1,名詞,代名詞,一般,*,*,*,あてぃし,アティシ,アティシ
あくあクルー,,,1,名詞,固有名詞,一般,*,*,*,あくあクルー,アクアクルー,アクアクルー
あくシオ,,,1,名詞,固有名詞,一般,*,*,*,あくシオ,アクシオ,アクシオ
あくあマリン,,,1,名詞,固有名詞,一般,*,*,*,あくあマリン,アクアマリン,アクアマリン
あくたん,,,1,名詞,固有名詞,人名,一般,*,*,あくたん,アクタン,アクタン
あくあちゃ先輩,,,1,名詞,固有名詞,人名,一般,*,*,あくあちゃ先輩,アクアチャセンパイ,アクアチャセンパイ
紫咲,,,1,名詞,固有名詞,人名,姓,*,*,紫咲,ムラサキ,ムラサキ
シオン,,,1,名詞,固有名詞,人名,名,*,*,シオン,シオン,シオン
塩っ子,,,1,名詞,固有名詞,一般,*,*,*,塩っ子,シオッコ,シオッコ
ねむい組,,,1,名詞,固有名詞,一般,*,*,*,ねむい組,ネムイグミ,ネムイグミ
塩がゆ,,,1,名詞,固有名詞,一般,*,*,*,塩がゆ,シオガユ,シオガユ
塩パン,,,1,名詞,固有名詞,一般,*,*,*,塩パン,シオパン,シオパン
紫龍組,,,1,名詞,固有名詞,一般,*,*,*,紫龍組,シリュウグミ,シリューグミ
フブシオ,,,1,名詞,固有名詞,一般,*,*,*,フブシオ,フブシオ,フブシオ
ハバ卒とババシャツ,,,1,名詞,固有名詞,一般,*,*,*,ハバ卒とババシャツ,ハバソツトババシャツ,ハバソツトババシャツ
断崖五絶壁,,,1,名詞,固有名詞,一般,*,*,*,断崖五絶壁,ダンガイゴゼッペキ,ダンガイゴゼッペキ
シオンたん,,,1,名詞,固有名詞,人名,一般,*,*,シオンたん,シオンタン,シオンタン
魔女っ娘,,,1,名詞,固有名詞,人名,一般,*,*,魔女っ娘,マジョッコ,マジョッコ
百鬼,,,1,名詞,固有名詞,人名,姓,*,*,百鬼,ナキリ,ナキリ
あやめ,,,1,名詞,固有名詞,人名,名,*,*,あやめ,アヤメ,アヤメ
余,,,1,名詞,代名詞,一般,*,*,*,余,ヨ,ヨ
百鬼組,,,1,名詞,固有名詞,一般,*,*,*,百鬼組,ナキリグミ,ナキリグミ
あやめる,,,1,名詞,固有名詞,人名,一般,*,*,あやめる,アヤメル,アヤメル
あやめんこ,,,1,名詞,固有名詞,人名,一般,*,*,あやめんこ,アヤメンコ,アヤメンコ
めんこ,,,1,名詞,固有名詞,人名,一般,*,*,めんこ,メンコ,メンコ
なきり,,,1,名詞,固有名詞,人名,一般,*,*,なきり,ナキリ,ナキリ
あやめ殿,,,1,名詞,固有名詞,人名,一般,*,*,あやめ殿,アヤメドノ,アヤメドノ
あーちゃん,,,1,名詞,固有名詞,人名,一般,*,*,あーちゃん,アーチャン,アーチャン
あやめちゃ先輩,,,1,名詞,固有名詞,人名,一般,*,*,あやめちゃ先輩,アヤメチャセンパイ,アヤメチャセンパイ
癒月,,,1,名詞,固有名詞,人名,姓,*,*,癒月,ユヅキ,ユヅキ
ちょこ,,,1,名詞,固有名詞,人名,名,*,*,ちょこ,チョコ,チョコ
ちょこめいと,,,1,名詞,固有名詞,一般,*,*,*,ちょこめいと,チョコメイト,チョコメイト
ちょこ先生,,,1,名詞,固有名詞,人名,一般,*,*,ちょこ先生,チョコセンセイ,チョコセンセー
